chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-03-15,78,Hard Fought Hallelujah,Brandon Lake,0,51,3
2025-03-15,79,Por Esos Ojos,Fuerza Regida,85,79,3
2025-03-15,80,CN Tower,PARTYNEXTDOOR & Drake,60,18,3
2025-03-15,81,Little Things,Ella Mai,89,81,2
2025-03-15,82,Backseat Driver,Kane Brown,93,79,4
2025-03-15,83,Headlock,Imogen Heap,82,82,7
2025-03-15,84,No Pole,Don Toliver,96,66,18
2025-03-15,85,Tattoo,Tito Double P,0,85,1
2025-03-15,86,Voy A Llevarte Pa PR,Bad Bunny,84,17,9
2025-03-15,87,The Largest,BigXthaPlug,88,71,10
2025-03-15,88,Weren't For The Wind,Ella Langley,100,85,5
2025-03-15,89,Something About You,PARTYNEXTDOOR & Drake,72,26,3
2025-03-15,90,Que Pasaria...,Rauw Alejandro & Bad Bunny,98,34,16
2025-03-15,91,Burning Down,Alex Warren,0,69,11
2025-03-15,92,EOO,Bad Bunny,92,24,9
2025-03-15,93,Push 2 Start,Tyla,0,88,5
2025-03-15,94,Tu Boda,Oscar Maydon & Fuerza Regida,0,22,19
2025-03-15,95,Are You Even Real,Teddy Swims & GIVEON,0,59,6
2025-03-15,96,Born Again,LISA Featuring Doja Cat & RAYE,0,68,2
2025-03-15,97,Twenties,Giveon,0,55,3
2025-03-15,98,Deeper,PARTYNEXTDOOR,78,31,3
2025-03-15,99,Holy Smokes,Bailey Zimmerman,0,54,9
2025-03-15,100,7 Dias,Gabito Ballesteros & Tito Double P,0,84,2
2025-03-22,1,Luther,Kendrick Lamar & SZA,1,1,16
2025-03-22,2,Die With A Smile,Lady Gaga & Bruno Mars,2,1,30
2025-03-22,3,Not Like Us,Kendrick Lamar,3,1,44
2025-03-22,4,A Bar Song (Tipsy),Shaboozey,5,1,48
2025-03-22,5,TV Off,Kendrick Lamar Featuring Lefty Gunplay,4,2,16
2025-03-22,6,APT.,ROSE & Bruno Mars,6,3,21
2025-03-22,7,Pink Pony Club,Chappell Roan,8,7,39
2025-03-22,8,Nokia,Drake,10,8,4
2025-03-22,9,Birds Of A Feather,Billie Eilish,7,2,43
2025-03-22,10,Lose Control,Teddy Swims,9,1,82
2025-03-22,11,That's So True,Gracie Abrams,11,6,21
2025-03-22,12,Beautiful Things,Benson Boone,12,2,59
2025-03-22,13,Anxiety,Doechii,0,13,1
2025-03-22,14,I Had Some Help,Post Malone Featuring Morgan Wallen,15,1,44
2025-03-22,15,Love Somebody,Morgan Wallen,13,1,21
2025-03-22,16,Squabble Up,Kendrick Lamar,14,1,16
2025-03-22,17,I'm The Problem,Morgan Wallen,17,2,6
2025-03-22,18,Espresso,Sabrina Carpenter,18,3,48
2025-03-22,19,Abracadabra,Lady Gaga,29,13,6
2025-03-22,20,30 For 30,SZA With Kendrick Lamar,16,10,12
2025-03-22,21,Timeless,The Weeknd & Playboi Carti,19,3,24
2025-03-22,22,Sports Car,Tate McRae,21,16,7
2025-03-22,23,Denial Is A River,Doechii,22,21,10
2025-03-22,24,Messy,Lola Young,20,14,15
2025-03-22,25,Taste,Sabrina Carpenter,23,2,29
2025-03-22,26,Too Sweet,Hozier,24,1,50
2025-03-22,27,"Good Luck, Babe!",Chappell Roan,27,4,48
2025-03-22,28,Stargazing,Myles Smith,28,19,43
2025-03-22,29,Who,Jimin,41,12,33
2025-03-22,30,Bed Chem,Sabrina Carpenter,32,14,29
2025-03-22,31,Revolving Door,Tate McRae,25,22,3
2025-03-22,32,Liar,Jelly Roll,31,31,24
2025-03-22,33,All The Stars,Kendrick Lamar & SZA,26,7,26
2025-03-22,34,I Never Lie,Zach Top,36,34,25
2025-03-22,35,DTMF,Bad Bunny,30,2,10
2025-03-22,36,High Road,Koe Wetzel & Jessie Murph,33,22,40
2025-03-22,37,I'm Gonna Love You,Cody Johnson & Carrie Underwood,39,37,24
2025-03-22,38,Sailor Song,Gigi Perez,35,22,30
2025-03-22,39,BMF,SZA,37,29,12
2025-03-22,40,Die Trying,"PARTYNEXTDOOR, Drake & Yebba",34,21,4
2025-03-22,41,No One Noticed,The Marias,40,22,24
2025-03-22,42,Indigo,Sam Barber Featuring Avery Anna,49,42,14
2025-03-22,43,Ordinary,Alex Warren,64,43,5
2025-03-22,44,Baile Inolvidable,Bad Bunny,42,3,10
2025-03-22,45,Bad Dreams,Teddy Swims,54,42,15
2025-03-22,46,Wildflower,Billie Eilish,48,17,39
2025-03-22,47,Whatchu Kno About Me,GloRilla & Sexyy Red,47,17,22
2025-03-22,48,Worst Way,Riley Green,60,48,9
2025-03-22,49,Residuals,Chris Brown,51,40,27
2025-03-22,50,Please Please Please,Sabrina Carpenter,43,1,38
2025-03-22,51,Good News,Shaboozey,55,47,16
2025-03-22,52,Garden Of Eden,Lady Gaga,0,52,1
2025-03-22,53,Gimme A Hug,Drake,38,6,4
2025-03-22,54,Smile,Morgan Wallen,50,4,11
2025-03-22,55,Peekaboo,Kendrick Lamar Featuring AzChike,46,13,16
2025-03-22,56,Cry For Me,The Weeknd,53,12,6
2025-03-22,57,Sorry I'm Here For Someone Else,Benson Boone,44,44,2
2025-03-22,58,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",52,10,20
2025-03-22,59,A N X I E T Y,Sleepy Hallow Featuring Doechii,45,45,2
2025-03-22,60,Mutt,Leon Thomas,59,59,6
2025-03-22,61,Vanish Into You,Lady Gaga,0,61,1
2025-03-22,62,Tweaker,GELO,57,29,10
2025-03-22,63,Me Jalo,Fuerza Regida & Grupo Frontera,65,63,4
2025-03-22,64,Loco,Neton Vega,63,43,11
2025-03-22,65,Somebody Loves Me,PARTYNEXTDOOR & Drake,62,30,4
2025-03-22,66,Sweet Dreams,j-hope Featuring Miguel,0,66,1
2025-03-22,67,Busy Woman,Sabrina Carpenter,61,27,4
2025-03-22,68,Ms. Whitman,Bhad Bhabie,56,56,2
2025-03-22,69,How Bad Do U Want Me,Lady Gaga,0,69,1
2025-03-22,70,Am I Okay?,Megan Moroney,67,59,27
2025-03-22,71,Disease,Lady Gaga,0,27,9
2025-03-22,72,Tattoo,Tito Double P,85,72,2
2025-03-22,73,Hard Fought Hallelujah,Brandon Lake,78,51,4
2025-03-22,74,Nuevayol,Bad Bunny,66,8,10
2025-03-22,75,Heart Of A Woman,Summer Walker,70,57,20
2025-03-22,76,Like Him,"Tyler, The Creator Featuring Lola Young",69,29,20
2025-03-22,77,I Ain't Sayin',Jordan Davis,58,58,12
2025-03-22,78,Fat Juicy & Wet,Sexyy Red & Bruno Mars,68,17,7
2025-03-22,79,No Pole,Don Toliver,84,66,19
2025-03-22,80,Handlebars,JENNIE & Dua Lipa,0,80,1
2025-03-22,81,Perfect Celebrity,Lady Gaga,0,81,1
2025-03-22,82,Weren't For The Wind,Ella Langley,88,82,6
2025-03-22,83,like JENNIE,JENNIE,0,83,1
2025-03-22,84,Little Things,Ella Mai,81,81,3
2025-03-22,85,Zombieboy,Lady Gaga,0,85,1
2025-03-22,86,Burning Down,Alex Warren,91,69,12
2025-03-22,87,Proud Of Me,Fridayy & Meek Mill,0,87,1
2025-03-22,88,Por Esos Ojos,Fuerza Regida,79,79,4
2025-03-22,89,Push 2 Start,Tyla,93,88,6
2025-03-22,90,The Largest,BigXthaPlug,87,71,11
2025-03-22,91,4x4xU,Lainey Wilson,74,45,18
2025-03-22,92,Headlock,Imogen Heap,83,82,8
2025-03-22,93,Killah,Lady Gaga Featuring Gesaffelstein,0,93,1
2025-03-22,94,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams",72,58,3
2025-03-22,95,LoveDrug,Lady Gaga,0,95,1
2025-03-22,96,Voy A Llevarte Pa PR,Bad Bunny,86,17,10
2025-03-22,97,Texas,Blake Shelton,0,97,1
2025-03-22,98,Tu Boda,Oscar Maydon & Fuerza Regida,94,22,20
2025-03-22,99,ExtraL,JENNIE & Doechii,0,75,2
2025-03-22,100,Te Queria Ver,Aleman X Neton Vega,0,100,1
2025-03-29,1,Luther,Kendrick Lamar & SZA,1,1,17
2025-03-29,2,Evil J0rdan,Playboi Carti,0,2,1
2025-03-29,3,Die With A Smile,Lady Gaga & Bruno Mars,2,1,31
2025-03-29,4,Rather Lie,Playboi Carti & The Weeknd,0,4,1
2025-03-29,5,The Giver,Chappell Roan,0,5,1
2025-03-29,6,A Bar Song (Tipsy),Shaboozey,4,1,49
2025-03-29,7,Birds Of A Feather,Billie Eilish,9,2,44
2025-03-29,8,Not Like Us,Kendrick Lamar,3,1,45
2025-03-29,9,Pink Pony Club,Chappell Roan,7,7,40
2025-03-29,10,Anxiety,Doechii,13,10,2
2025-03-29,11,Nokia,Drake,8,8,5
2025-03-29,12,Lose Control,Teddy Swims,10,1,83
2025-03-29,13,TV Off,Kendrick Lamar Featuring Lefty Gunplay,5,2,17
2025-03-29,14,APT.,ROSE & Bruno Mars,6,3,22
2025-03-29,15,Beautiful Things,Benson Boone,12,2,60
2025-03-29,16,That's So True,Gracie Abrams,11,6,22
2025-03-29,17,Good Credit,Playboi Carti & Kendrick Lamar,0,17,1
2025-03-29,18,Love Somebody,Morgan Wallen,15,1,22
2025-03-29,19,I Had Some Help,Post Malone Featuring Morgan Wallen,14,1,45
2025-03-29,20,Crush,Playboi Carti & Travis Scott,0,20,1
2025-03-29,21,I'm The Problem,Morgan Wallen,17,2,7
2025-03-29,22,Espresso,Sabrina Carpenter,18,3,49
2025-03-29,23,Timeless,The Weeknd & Playboi Carti,21,3,25
2025-03-29,24,Squabble Up,Kendrick Lamar,16,1,17
2025-03-29,25,Backd00r,Playboi Carti Featuring Kendrick Lamar & Jhene Aiko,0,25,1
2025-03-29,26,30 For 30,SZA With Kendrick Lamar,20,10,13
2025-03-29,27,Mojo Jojo,Playboi Carti,0,27,1
2025-03-29,28,Philly,Playboi Carti & Travis Scott,0,28,1
2025-03-29,29,Messy,Lola Young,24,14,16
2025-03-29,30,Sports Car,Tate McRae,22,16,8
2025-03-29,31,Denial Is A River,Doechii,23,21,11
2025-03-29,32,Too Sweet,Hozier,26,1,51
2025-03-29,33,Fine Shit,Playboi Carti,0,33,1
2025-03-29,34,Toxic,Playboi Carti & Skepta,0,34,1
2025-03-29,35,Ordinary,Alex Warren,43,35,6
2025-03-29,36,Taste,Sabrina Carpenter,25,2,30
2025-03-29,37,Abracadabra,Lady Gaga,19,13,7
2025-03-29,38,K Pop,Playboi Carti,0,38,1
2025-03-29,39,"Good Luck, Babe!",Chappell Roan,27,4,49
2025-03-29,40,Bed Chem,Sabrina Carpenter,30,14,30
2025-03-29,41,Pop Out,Playboi Carti,0,41,1
2025-03-29,42,Stargazing,Myles Smith,28,19,44
2025-03-29,43,Radar,Playboi Carti,0,43,1
2025-03-29,44,I Never Lie,Zach Top,34,34,26
2025-03-29,45,Dark Thoughts,Lil Tecca,0,45,1
2025-03-29,46,Trim,Playboi Carti & Future,0,46,1
2025-03-29,47,I'm Gonna Love You,Cody Johnson & Carrie Underwood,37,37,25
2025-03-29,48,HBA,Playboi Carti,0,48,1
2025-03-29,49,Charge Dem Hoes A Fee,"Playboi Carti, Future & Travis Scott",0,49,1
2025-03-29,50,Sailor Song,Gigi Perez,38,22,31
2025-03-29,51,DTMF,Bad Bunny,35,2,11
2025-03-29,52,Wake Up F1lthy,Playboi Carti & Travis Scott,0,52,1
2025-03-29,53,Jumpin,Playboi Carti & Lil Uzi Vert,0,53,1
2025-03-29,54,I Seeeeee You Baby Boi,Playboi Carti,0,54,1
2025-03-29,55,Crank,Playboi Carti,0,55,1
2025-03-29,56,Like Weezy,Playboi Carti,0,56,1
2025-03-29,57,Emergence,Sleep Token,0,57,1
2025-03-29,58,Twin Trim,Playboi Carti & Lil Uzi Vert,0,58,1
2025-03-29,59,Revolving Door,Tate McRae,31,22,4
2025-03-29,60,Bad Dreams,Teddy Swims,45,42,16
2025-03-29,61,BMF,SZA,39,29,13
2025-03-29,62,Residuals,Chris Brown,49,40,28
2025-03-29,63,Indigo,Sam Barber Featuring Avery Anna,42,42,15
2025-03-29,64,No One Noticed,The Marias,41,22,25
2025-03-29,65,Olympian,Playboi Carti,0,65,1
2025-03-29,66,Worst Way,Riley Green,48,48,10
2025-03-29,67,Wildflower,Billie Eilish,46,17,40
2025-03-29,68,Baile Inolvidable,Bad Bunny,44,3,11
2025-03-29,69,Munyun,Playboi Carti,0,69,1
2025-03-29,70,Sorry I'm Here For Someone Else,Benson Boone,57,44,3
2025-03-29,71,We Need All Da Vibes,"Playboi Carti, Young Thug & Ty Dolla $ign",0,71,1
2025-03-29,72,Good News,Shaboozey,51,47,17
2025-03-29,73,Cry For Me,The Weeknd,56,12,7
2025-03-29,74,Smile,Morgan Wallen,54,4,12
2025-03-29,75,OPM Babi,Playboi Carti,0,75,1
2025-03-29,76,Die Trying,"PARTYNEXTDOOR, Drake & Yebba",40,21,5
2025-03-29,77,Mutt,Leon Thomas,60,59,7
2025-03-29,78,Gimme A Hug,Drake,53,6,5
2025-03-29,79,Peekaboo,Kendrick Lamar Featuring AzChike,55,13,17
2025-03-29,80,Cocaine Nose,Playboi Carti,0,80,1
2025-03-29,81,Me Jalo,Fuerza Regida & Grupo Frontera,63,63,5
2025-03-29,82,Tweaker,GELO,62,29,11
2025-03-29,83,Somebody Loves Me,PARTYNEXTDOOR & Drake,65,30,5
2025-03-29,84,Loco,Neton Vega,64,43,12
2025-03-29,85,Dis 1 Got It,Playboi Carti,0,85,1
2025-03-29,86,Overly,Playboi Carti,0,86,1
2025-03-29,87,Busy Woman,Sabrina Carpenter,67,27,5
2025-03-29,88,South Atlanta Baby,Playboi Carti,0,88,1
2025-03-29,89,Nuevayol,Bad Bunny,74,8,11
2025-03-29,90,Heart Of A Woman,Summer Walker,75,57,21
2025-03-29,91,Tattoo,Tito Double P,72,72,3
2025-03-29,92,Hard Fought Hallelujah,Brandon Lake,73,51,5
2025-03-29,93,Like Him,"Tyler, The Creator Featuring Lola Young",76,29,21
2025-03-29,94,Burning Down,Alex Warren,86,69,13
2025-03-29,95,Weren't For The Wind,Ella Langley,82,82,7
2025-03-29,96,Walk,Playboi Carti,0,96,1
2025-03-29,97,I Ain't Sayin',Jordan Davis,77,58,13
2025-03-29,98,No Pole,Don Toliver,79,66,20
2025-03-29,99,Am I Okay?,Megan Moroney,70,59,28
2025-03-29,100,Ms. Whitman,Bhad Bhabie,68,56,3
2025-04-05,1,Luther,Kendrick Lamar & SZA,1,1,18
2025-04-05,2,Die With A Smile,Lady Gaga & Bruno Mars,3,1,32
2025-04-05,3,A Bar Song (Tipsy),Shaboozey,6,1,50
2025-04-05,4,Just In Case,Morgan Wallen,0,4,1
2025-04-05,5,Pink Pony Club,Chappell Roan,9,5,41
2025-04-05,6,Lose Control,Teddy Swims,12,1,84
2025-04-05,7,Nokia,Drake,11,7,6
2025-04-05,8,Beautiful Things,Benson Boone,15,2,61
2025-04-05,9,Not Like Us,Kendrick Lamar,8,1,46
2025-04-05,10,APT.,ROSE & Bruno Mars,14,3,23
2025-04-05,11,I'm The Problem,Morgan Wallen,21,2,8
2025-04-05,12,Birds Of A Feather,Billie Eilish,7,2,45
2025-04-05,13,That's So True,Gracie Abrams,16,6,23
2025-04-05,14,Anxiety,Doechii,10,10,3
2025-04-05,15,TV Off,Kendrick Lamar Featuring Lefty Gunplay,13,2,18
2025-04-05,16,Love Somebody,Morgan Wallen,18,1,23
2025-04-05,17,I'm A Little Crazy,Morgan Wallen,0,17,1
2025-04-05,18,Espresso,Sabrina Carpenter,22,3,50
2025-04-05,19,I Had Some Help,Post Malone Featuring Morgan Wallen,19,1,46
2025-04-05,20,Ordinary,Alex Warren,35,20,7
2025-04-05,21,Timeless,The Weeknd & Playboi Carti,23,3,26
2025-04-05,22,Squabble Up,Kendrick Lamar,24,1,18
2025-04-05,23,Messy,Lola Young,29,14,17
2025-04-05,24,30 For 30,SZA With Kendrick Lamar,26,10,14
2025-04-05,25,Rather Lie,Playboi Carti & The Weeknd,4,4,2
2025-04-05,26,Sports Car,Tate McRae,30,16,9
2025-04-05,27,Evil J0rdan,Playboi Carti,2,2,2
2025-04-05,28,Mutt,Leon Thomas,77,28,8
2025-04-05,29,The Giver,Chappell Roan,5,5,2
2025-04-05,30,Too Sweet,Hozier,32,1,52
2025-04-05,31,Taste,Sabrina Carpenter,36,2,31
2025-04-05,32,Dark Thoughts,Lil Tecca,45,32,2
2025-04-05,33,Denial Is A River,Doechii,31,21,12
2025-04-05,34,Stargazing,Myles Smith,42,19,45
2025-04-05,35,Bed Chem,Sabrina Carpenter,40,14,31
2025-04-05,36,I Never Lie,Zach Top,44,34,27
2025-04-05,37,"Good Luck, Babe!",Chappell Roan,39,4,50
2025-04-05,38,Abracadabra,Lady Gaga,37,13,8
2025-04-05,39,Sailor Song,Gigi Perez,50,22,32
2025-04-05,40,No One Noticed,The Marias,64,22,26
2025-04-05,41,DTMF,Bad Bunny,51,2,12
2025-04-05,42,Bad Dreams,Teddy Swims,60,42,17
2025-04-05,43,Smile,Morgan Wallen,74,4,13
2025-04-05,44,Sorry I'm Here For Someone Else,Benson Boone,70,44,4
2025-04-05,45,BMF,SZA,61,29,14
2025-04-05,46,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams",0,46,4
2025-04-05,47,Indigo,Sam Barber Featuring Avery Anna,63,42,16
2025-04-05,48,Good News,Shaboozey,72,47,18
2025-04-05,49,I'm Gonna Love You,Cody Johnson & Carrie Underwood,47,37,26
2025-04-05,50,Wildflower,Billie Eilish,67,17,41
2025-04-05,51,Residuals,Chris Brown,62,40,29
2025-04-05,52,Worst Way,Riley Green,66,48,11
2025-04-05,53,Baile Inolvidable,Bad Bunny,68,3,12
2025-04-05,54,Me Jalo,Fuerza Regida & Grupo Frontera,81,54,6
2025-04-05,55,Cry For Me,The Weeknd,73,12,8
2025-04-05,56,Revolving Door,Tate McRae,59,22,5
2025-04-05,57,Just Us,Jack Harlow & Doja Cat,0,57,1
2025-04-05,58,Gimme A Hug,Drake,78,6,6
2025-04-05,59,Ojos Tristes,"Selena Gomez, benny blanco & The Marias",0,59,1
2025-04-05,60,Good Credit,Playboi Carti & Kendrick Lamar,17,17,2
2025-04-05,61,Die Trying,"PARTYNEXTDOOR, Drake & Yebba",76,21,6
2025-04-05,62,Peekaboo,Kendrick Lamar Featuring AzChike,79,13,18
2025-04-05,63,Somebody Loves Me,PARTYNEXTDOOR & Drake,83,30,6
2025-04-05,64,Loco,Neton Vega,84,43,13
2025-04-05,65,Mona Lisa,j-hope,0,65,1
2025-04-05,66,Am I Okay?,Megan Moroney,99,59,29
2025-04-05,67,EOO,Bad Bunny,0,24,10
2025-04-05,68,Busy Woman,Sabrina Carpenter,87,27,6
2025-04-05,69,Te Queria Ver,Aleman X Neton Vega,0,69,2
2025-04-05,70,This Town's Been Too Good To Us,Dylan Scott,0,70,1
2025-04-05,71,How Does It Feel To Be Forgotten,Selena Gomez & benny blanco,0,71,1
2025-04-05,72,Tweaker,GELO,82,29,12
2025-04-05,73,Heart Of A Woman,Summer Walker,90,57,22
2025-04-05,74,Like Him,"Tyler, The Creator Featuring Lola Young",93,29,22
2025-04-05,75,Hard Fought Hallelujah,Brandon Lake,92,51,6
2025-04-05,76,Backd00r,Playboi Carti Featuring Kendrick Lamar & Jhene Aiko,25,25,2
2025-04-05,77,Crush,Playboi Carti & Travis Scott,20,20,2
2025-04-05,78,Nuevayol,Bad Bunny,89,8,12
2025-04-05,79,Weren't For The Wind,Ella Langley,95,79,8
2025-04-05,80,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims,0,80,1
2025-04-05,81,No Pole,Don Toliver,98,66,21
2025-04-05,82,Tattoo,Tito Double P,91,72,4
2025-04-05,83,Burning Down,Alex Warren,94,69,14
2025-04-05,84,Emergence,Sleep Token,57,57,2
2025-04-05,85,I Ain't Sayin',Jordan Davis,97,58,14
2025-04-05,86,Texas,Blake Shelton,0,86,2
2025-04-05,87,Like Weezy,Playboi Carti,56,56,2
2025-04-05,88,Are You Even Real,Teddy Swims & GIVEON,0,59,7
2025-04-05,89,4x4xU,Lainey Wilson,0,45,19
2025-04-05,90,Little Things,Ella Mai,0,81,4
2025-04-05,91,Toxic,Playboi Carti & Skepta,34,34,2
2025-04-05,92,Friends Like That,John Morgan Featuring Jason Aldean,0,92,1
2025-04-05,93,Holy Smokes,Bailey Zimmerman,0,54,10
2025-04-05,94,Philly,Playboi Carti & Travis Scott,28,28,2
2025-04-05,95,Headlock,Imogen Heap,0,82,9
2025-04-05,96,Push 2 Start,Tyla,0,88,7
2025-04-05,97,Sunset Blvd,Selena Gomez & benny blanco,0,97,1
2025-04-05,98,Fine Shit,Playboi Carti,33,33,2
2025-04-05,99,Que Pasaria...,Rauw Alejandro & Bad Bunny,0,34,17
2025-04-05,100,Voy A Llevarte Pa PR,Bad Bunny,0,17,11
2025-04-12,1,Luther,Kendrick Lamar & SZA,1,1,19
2025-04-12,2,Die With A Smile,Lady Gaga & Bruno Mars,2,1,33
2025-04-12,3,Nokia,Drake,7,3,7
2025-04-12,4,A Bar Song (Tipsy),Shaboozey,3,1,51
2025-04-12,5,Pink Pony Club,Chappell Roan,5,5,42
2025-04-12,6,Lose Control,Teddy Swims,6,1,85
2025-04-12,7,APT.,ROSE & Bruno Mars,10,3,24
2025-04-12,8,Just In Case,Morgan Wallen,4,4,2
2025-04-12,9,I'm The Problem,Morgan Wallen,11,2,9
2025-04-12,10,Birds Of A Feather,Billie Eilish,12,2,46
2025-04-12,11,Beautiful Things,Benson Boone,8,2,62
2025-04-12,12,Anxiety,Doechii,14,10,4
2025-04-12,13,That's So True,Gracie Abrams,13,6,24
2025-04-12,14,Ordinary,Alex Warren,20,14,8
2025-04-12,15,Not Like Us,Kendrick Lamar,9,1,47
2025-04-12,16,TV Off,Kendrick Lamar Featuring Lefty Gunplay,15,2,19
2025-04-12,17,Love Somebody,Morgan Wallen,16,1,24
2025-04-12,18,Twilight Zone,Ariana Grande,0,18,1
2025-04-12,19,I Had Some Help,Post Malone Featuring Morgan Wallen,19,1,47
2025-04-12,20,Espresso,Sabrina Carpenter,18,3,51
2025-04-12,21,Mutt,Leon Thomas,28,21,9
2025-04-12,22,Messy,Lola Young,23,14,18
2025-04-12,23,Squabble Up,Kendrick Lamar,22,1,19
2025-04-12,24,30 For 30,SZA With Kendrick Lamar,24,10,15
2025-04-12,25,Sports Car,Tate McRae,26,16,10
2025-04-12,26,Timeless,The Weeknd & Playboi Carti,21,3,27
2025-04-12,27,Taste,Sabrina Carpenter,31,2,32
2025-04-12,28,Dark Thoughts,Lil Tecca,32,28,3
2025-04-12,29,The Giver,Chappell Roan,29,5,3
2025-04-12,30,I'm A Little Crazy,Morgan Wallen,17,17,2
2025-04-12,31,I Never Lie,Zach Top,36,31,28
2025-04-12,32,Stargazing,Myles Smith,34,19,46
2025-04-12,33,Abracadabra,Lady Gaga,38,13,9
2025-04-12,34,Denial Is A River,Doechii,33,21,13
2025-04-12,35,Rather Lie,Playboi Carti & The Weeknd,25,4,3
2025-04-12,36,No One Noticed,The Marias,40,22,27
2025-04-12,37,"Good Luck, Babe!",Chappell Roan,37,4,51
2025-04-12,38,Dandelion,Ariana Grande,0,38,1
2025-04-12,39,Sailor Song,Gigi Perez,39,22,33
2025-04-12,40,Bad Dreams,Teddy Swims,42,40,18
2025-04-12,41,DTMF,Bad Bunny,41,2,13
2025-04-12,42,Intro (End Of The World),Ariana Grande,0,38,3
2025-04-12,43,Bed Chem,Sabrina Carpenter,35,14,32
2025-04-12,44,Indigo,Sam Barber Featuring Avery Anna,47,42,17
2025-04-12,45,Worst Way,Riley Green,52,45,12
2025-04-12,46,Wildflower,Billie Eilish,50,17,42
2025-04-12,47,Sorry I'm Here For Someone Else,Benson Boone,44,44,5
2025-04-12,48,BMF,SZA,45,29,15
2025-04-12,49,Residuals,Chris Brown,51,40,30
2025-04-12,50,Evil J0rdan,Playboi Carti,27,2,3
2025-04-12,51,Good News,Shaboozey,48,47,19
2025-04-12,52,Cry For Me,The Weeknd,55,12,9
2025-04-12,53,Past Life,Ariana Grande,0,53,1
2025-04-12,54,Warm,Ariana Grande,0,54,1
2025-04-12,55,Me Jalo,Fuerza Regida & Grupo Frontera,54,54,7
2025-04-12,56,Ojos Tristes,"Selena Gomez, benny blanco & The Marias",59,56,2
2025-04-12,57,Baile Inolvidable,Bad Bunny,53,3,13
2025-04-12,58,Smile,Morgan Wallen,43,4,14
2025-04-12,59,Hampstead,Ariana Grande,0,59,1
2025-04-12,60,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams",46,46,5
2025-04-12,61,Revolving Door,Tate McRae,56,22,6
2025-04-12,62,Gimme A Hug,Drake,58,6,7
2025-04-12,63,Vanish Mode,Lil Durk,0,63,1
2025-04-12,64,Somebody Loves Me,PARTYNEXTDOOR & Drake,63,30,7
2025-04-12,65,Te Queria Ver,Aleman X Neton Vega,69,65,3
2025-04-12,66,Die Trying,"PARTYNEXTDOOR, Drake & Yebba",61,21,7
2025-04-12,67,Peekaboo,Kendrick Lamar Featuring AzChike,62,13,19
2025-04-12,68,Loco,Neton Vega,64,43,14
2025-04-12,69,Weren't For The Wind,Ella Langley,79,69,9
2025-04-12,70,Am I Okay?,Megan Moroney,66,59,30
2025-04-12,71,Hard Fought Hallelujah,Brandon Lake,75,51,7
2025-04-12,72,They Want To Be You,Lil Durk Featuring Future,0,72,1
2025-04-12,73,Heart Of A Woman,Summer Walker,73,57,23
2025-04-12,74,Like Him,"Tyler, The Creator Featuring Lola Young",74,29,23
2025-04-12,75,EOO,Bad Bunny,67,24,11
2025-04-12,76,Busy Woman,Sabrina Carpenter,68,27,7
2025-04-12,77,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims,80,77,2
2025-04-12,78,No Pole,Don Toliver,81,66,22
2025-04-12,79,Texas,Blake Shelton,86,79,3
2025-04-12,80,This Town's Been Too Good To Us,Dylan Scott,70,70,2
2025-04-12,81,Love Me Not,Ravyn Lenae,0,81,1
2025-04-12,82,Nuevayol,Bad Bunny,78,8,13
2025-04-12,83,1000 Times,Lil Durk Featuring Lil Baby,0,83,1
2025-04-12,84,Can't Hide It,Lil Durk Featuring Jhene Aiko,0,84,1
2025-04-12,85,Are You Even Real,Teddy Swims & GIVEON,88,59,8
2025-04-12,86,Feel It,d4vd,0,86,4
2025-04-12,87,Friends Like That,John Morgan Featuring Jason Aldean,92,87,2
2025-04-12,88,Holy Smokes,Bailey Zimmerman,93,54,11
2025-04-12,89,4x4xU,Lainey Wilson,89,45,20
2025-04-12,90,Back To Friends,sombr,0,90,1
2025-04-12,91,Hometown Home,LOCASH,0,91,1
2025-04-12,92,Tweaker,GELO,72,29,13
2025-04-12,93,Morena,Neton Vega & Peso Pluma,0,93,1
2025-04-12,94,Shaking When I Pray,Lil Durk,0,94,1
2025-04-12,95,Fix What You Didn't Break,Nate Smith,0,88,2
2025-04-12,96,Keep On Sippin',Lil Durk,0,96,1
2025-04-12,97,Headlock,Imogen Heap,95,82,10
2025-04-12,98,Little Things,Ella Mai,90,81,5
2025-04-12,99,Tattoo,Tito Double P,82,72,5
2025-04-12,100,Que Pasaria...,Rauw Alejandro & Bad Bunny,99,34,18
2025-04-19,1,Luther,Kendrick Lamar & SZA,1,1,20
2025-04-19,2,Nokia,Drake,3,2,8
2025-04-19,3,Die With A Smile,Lady Gaga & Bruno Mars,2,1,34
2025-04-19,4,All The Way,BigXthaPlug Featuring Bailey Zimmerman,0,4,1
2025-04-19,5,Pink Pony Club,Chappell Roan,5,5,43
2025-04-19,6,A Bar Song (Tipsy),Shaboozey,4,1,52
2025-04-19,7,Ordinary,Alex Warren,14,7,9
