Age,Gender,Education Level,Job Title,Years of Experience,Salary,
35,Female,Bachelor's Degree,HR Generalist,7,60000,FALSE
42,Male,Master's Degree,Project Engineer,14,115000,FALSE
26,Female,Bachelor's Degree,Customer Success Rep,1,40000,FALSE
49,Male,Bachelor's Degree,Sales Executive,21,160000,FALSE
34,Female,Master's Degree,UX Designer,5,80000,FALSE
48,Male,Master's Degree,Operations Director,18,190000,FALSE
30,Male,Bachelor's Degree,Network Engineer,3,60000,FALSE
36,Female,Bachelor's Degree,Administrative Assistant,8,45000,FALSE
41,Male,Master's Degree,Strategy Consultant,13,130000,FALSE
28,Female,Bachelor's Degree,Copywriter,2,40000,FALSE
32,Male,Bachelor's Degree,Account Manager,5,75000,FALSE
45,Female,Master's Degree,Director of Marketing,16,180000,FALSE
38,Male,PhD,Senior Scientist,11,120000,FALSE
25,Male,Bachelor's Degree,Help Desk Analyst,0,35000,FALSE
51,Female,Bachelor's Degree,Customer Service Manager,22,130000,FALSE
33,Male,Master's Degree,Business Intelligence Analyst,7,85000,FALSE
40,Female,Bachelor's Degree,Event Coordinator,12,60000,FALSE
47,Male,Master's Degree,VP of Finance,19,200000,FALSE
29,Female,Bachelor's Degree,Graphic Designer,3,50000,FALSE
36,Male,Bachelor's Degree,Sales Manager,9,95000,FALSE
27,Female,Master's Degree,UX Researcher,2,65000,FALSE
43,Male,PhD,Senior Engineer,17,140000,FALSE
30,Female,Bachelor's Degree,Social Media Manager,4,55000,FALSE
35,Male,Master's Degree,Product Manager,7,105000,FALSE
51,Female,Master's Degree,Director of Operations,23,170000,FALSE
29,Male,Bachelor's Degree,Marketing Analyst,3,50000,FALSE
40,Female,Bachelor's Degree,HR Manager,12,80000,FALSE
47,Male,PhD,Senior Data Scientist,21,180000,FALSE
26,Male,Bachelor's Degree,Junior Accountant,1,35000,FALSE
38,Female,Master's Degree,Digital Marketing Manager,10,90000,FALSE
46,Male,Bachelor's Degree,IT Manager,19,120000,FALSE
31,Female,Bachelor's Degree,Customer Service Representative,5,45000,FALSE
34,Male,Master's Degree,Business Development Manager,8,90000,FALSE
49,Female,Master's Degree,Senior Financial Analyst,18,150000,FALSE
33,Male,Bachelor's Degree,Web Developer,6,65000,FALSE
39,Female,Bachelor's Degree,Recruiter,11,70000,FALSE
45,Male,PhD,Research Director,16,190000,FALSE
28,Male,Bachelor's Degree,Technical Support Specialist,2,40000,FALSE
42,Female,Master's Degree,Creative Director,14,120000,FALSE
37,Male,Bachelor's Degree,Project Manager,10,95000,FALSE
50,Female,Bachelor's Degree,Operations Manager,22,160000,FALSE
32,Male,Master's Degree,Senior Software Engineer,6,100000,FALSE
48,Female,Master's Degree,Human Resources Director,20,180000,FALSE
30,Female,Bachelor's Degree,Content Marketing Manager,3,55000,FALSE
36,Male,Bachelor's Degree,Technical Recruiter,8,70000,FALSE
41,Female,Master's Degree,Data Analyst,13,80000,FALSE
25,Male,Bachelor's Degree,Sales Representative,0,30000,FALSE
52,Male,PhD,Chief Technology Officer,24,250000,FALSE
29,Female,Bachelor's Degree,Junior Designer,2,40000,FALSE
34,Female,Master's Degree,Financial Advisor,10,95000,FALSE
27,Male,Bachelor's Degree,Junior Account Manager,2,45000,FALSE
40,Female,Bachelor's Degree,HR Generalist,15,80000,FALSE
46,Male,Master's Degree,Senior Project Manager,21,135000,FALSE
31,Female,Bachelor's Degree,Marketing Coordinator,6,55000,FALSE
36,Male,PhD,Principal Scientist,11,120000,FALSE
29,Female,Bachelor's Degree,Sales Associate,3,40000,FALSE
43,Male,Bachelor's Degree,Supply Chain Manager,18,105000,FALSE
52,Female,Master's Degree,Senior Marketing Manager,25,170000,FALSE
33,Male,Bachelor's Degree,Business Analyst,7,75000,FALSE
39,Female,Bachelor's Degree,Training Specialist,12,65000,FALSE
47,Male,PhD,Research Scientist,22,160000,FALSE
26,Male,Bachelor's Degree,Junior Software Developer,1,35000,FALSE
38,Female,Master's Degree,Public Relations Manager,10,90000,FALSE
45,Male,Bachelor's Degree,Operations Analyst,20,110000,FALSE
31,Female,Bachelor's Degree,Event Coordinator,5,45000,FALSE
35,Male,Master's Degree,Product Marketing Manager,8,95000,FALSE
49,Female,Master's Degree,Senior HR Manager,19,150000,FALSE
33,Male,Bachelor's Degree,Junior Web Developer,5,50000,FALSE
39,Female,Master's Degree,Senior Project Coordinator,13,80000,FALSE
44,Male,PhD,Chief Data Officer,16,220000,FALSE
30,Female,Bachelor's Degree,Digital Content Producer,3,50000,FALSE
36,Male,Bachelor's Degree,IT Support Specialist,7,60000,FALSE
41,Female,Master's Degree,Senior Marketing Analyst,14,100000,FALSE
28,Male,Bachelor's Degree,Customer Success Manager,2,40000,FALSE
42,Female,Master's Degree,Senior Graphic Designer,15,110000,FALSE
37,Male,Bachelor's Degree,Software Project Manager,9,95000,FALSE
50,Female,Bachelor's Degree,Supply Chain Analyst,22,130000,FALSE
32,Male,Master's Degree,Senior Business Analyst,6,90000,FALSE
23,Female,Bachelor's Degree,Junior Marketing Analyst,0.5,35000,FALSE
31,Male,Master's Degree,Senior Financial Analyst,6,95000,FALSE
40,Female,Bachelor's Degree,Office Manager,15,65000,FALSE
48,Male,PhD,Principal Engineer,20,170000,FALSE
29,Female,Bachelor's Degree,Junior HR Generalist,3,45000,FALSE
35,Male,Master's Degree,Senior Product Manager,10,120000,FALSE
42,Female,Bachelor's Degree,Sales Manager,17,100000,FALSE
53,Male,Master's Degree,Director of Marketing,25,180000,FALSE
33,Female,Bachelor's Degree,Junior Operations Analyst,5,50000,FALSE
38,Male,Bachelor's Degree,Customer Service Manager,11,80000,FALSE
44,Female,PhD,Senior Scientist,16,140000,FALSE
26,Male,Bachelor's Degree,Junior Accountant,2,40000,FALSE
37,Female,Master's Degree,Senior HR Generalist,9,95000,FALSE
45,Male,Bachelor's Degree,Sales Operations Manager,18,110000,FALSE
32,Female,Bachelor's Degree,Marketing Coordinator,4,50000,FALSE
34,Male,Master's Degree,Senior Software Developer,8,105000,FALSE
50,Female,Master's Degree,Director of Operations,21,160000,FALSE
29,Male,Bachelor's Degree,Junior Web Designer,3,45000,FALSE
40,Female,Master's Degree,Senior Training Specialist,12,100000,FALSE
47,Male,PhD,Senior Research Scientist,22,160000,FALSE
27,Male,Bachelor's Degree,Junior Sales Representative,1,35000,FALSE
39,Female,Bachelor's Degree,Administrative Assistant,10,55000,FALSE
46,Male,Master's Degree,Senior Project Manager,19,140000,FALSE
30,Female,Bachelor's Degree,Junior Marketing Manager,4,50000,FALSE
36,Male,Bachelor's Degree,Junior Data Analyst,7,60000,FALSE
43,Female,Master's Degree,Senior Product Marketing Manager,14,120000,FALSE
28,Male,Bachelor's Degree,Junior Business Analyst,2,40000,FALSE
41,Female,Master's Degree,Senior Marketing Manager,13,110000,FALSE
33,Male,Bachelor's Degree,Junior Software Developer,5,50000,FALSE
47,Male,Bachelor's Degree,Senior Sales Manager,20,135000,FALSE
25,Female,Master's Degree,Junior Marketing Specialist,1.5,40000,FALSE
34,Male,Bachelor's Degree,Senior Business Analyst,8,90000,FALSE
42,Female,PhD,Senior Data Scientist,16,150000,FALSE
31,Male,Bachelor's Degree,Junior Project Manager,4,60000,FALSE
38,Female,Bachelor's Degree,Senior Accountant,10,80000,FALSE
45,Male,Master's Degree,Director of Sales,19,175000,FALSE
29,Female,Bachelor's Degree,Junior Recruiter,3,45000,FALSE
36,Male,Master's Degree,Senior Business Development Manager,11,120000,FALSE
43,Female,PhD,Senior Product Designer,18,140000,FALSE
26,Male,Bachelor's Degree,Junior Customer Support Specialist,2,35000,FALSE
37,Female,Master's Degree,Senior Marketing Analyst,9,95000,FALSE
44,Male,Bachelor's Degree,Senior IT Support Specialist,14,110000,FALSE
32,Female,Bachelor's Degree,Junior Financial Analyst,5,50000,FALSE
33,Male,Master's Degree,Senior Operations Manager,7,115000,FALSE
51,Female,PhD,Director of Human Resources,23,185000,FALSE
28,Male,Bachelor's Degree,Junior Software Engineer,2,40000,FALSE
39,Female,Bachelor's Degree,Senior Sales Representative,12,90000,FALSE
48,Male,Master's Degree,Director of Product Management,21,175000,FALSE
30,Female,Bachelor's Degree,Junior Copywriter,3,45000,FALSE
35,Male,Bachelor's Degree,Senior Marketing Coordinator,7,80000,FALSE
41,Female,Master's Degree,Senior Human Resources Manager,13,120000,FALSE
27,Male,Bachelor's Degree,Junior Business Development Associate,1.5,35000,FALSE
40,Female,Bachelor's Degree,Senior Account Manager,14,110000,FALSE
46,Male,PhD,Senior Researcher,18,150000,FALSE
31,Female,Bachelor's Degree,Junior HR Coordinator,4,50000,FALSE
34,Male,Master's Degree,Senior Software Engineer,9,105000,FALSE
50,Female,Master's Degree,Director of Finance,20,180000,FALSE
29,Male,Bachelor's Degree,Junior Marketing Coordinator,2,40000,FALSE
43,Male,Bachelor's Degree,Senior Project Manager,16,140000,FALSE
26,Female,Master's Degree,Junior Data Scientist,1.5,45000,FALSE
35,Male,Bachelor's Degree,Senior Operations Analyst,7,85000,FALSE
42,Female,PhD,Senior Marketing Manager,18,140000,FALSE
31,Male,Bachelor's Degree,Junior Accountant,4,50000,FALSE
38,Female,Bachelor's Degree,Senior Human Resources Coordinator,10,80000,FALSE
46,Male,Master's Degree,Director of Operations,20,170000,FALSE
29,Female,Bachelor's Degree,Junior Sales Representative,2,40000,FALSE
37,Male,Master's Degree,Senior Business Analyst,9,105000,FALSE
44,Female,PhD,Senior UX Designer,15,145000,FALSE
27,Male,Bachelor's Degree,Junior Product Manager,2,40000,FALSE
36,Female,Bachelor's Degree,Senior Marketing Specialist,8,85000,FALSE
43,Male,Bachelor's Degree,Senior IT Project Manager,14,130000,FALSE
33,Female,Master's Degree,Senior Financial Analyst,6,95000,FALSE
34,Male,Bachelor's Degree,Senior Quality Assurance Analyst,9,100000,FALSE
50,Female,PhD,Director of Sales and Marketing,22,180000,FALSE
28,Male,Bachelor's Degree,Junior Operations Analyst,1.5,35000,FALSE
39,Female,Bachelor's Degree,Senior Account Executive,12,95000,FALSE
47,Male,Master's Degree,Director of Business Development,19,170000,FALSE
30,Female,Bachelor's Degree,Junior Social Media Manager,3,45000,FALSE
34,Male,Bachelor's Degree,Senior Product Manager,7,95000,FALSE
40,Female,Master's Degree,Senior Human Resources Specialist,13,120000,FALSE
28,Male,Bachelor's Degree,Junior Business Analyst,2,40000,FALSE
41,Female,Bachelor's Degree,Senior Marketing Coordinator,11,90000,FALSE
45,Male,PhD,Senior Data Analyst,17,155000,FALSE
32,Female,Bachelor's Degree,Junior Account Manager,5,55000,FALSE
35,Male,Master's Degree,Senior Software Developer,9,110000,FALSE
49,Female,Master's Degree,Director of Human Capital,21,180000,FALSE
30,Male,Bachelor's Degree,Junior Advertising Coordinator,3,45000,FALSE
44,Male,Bachelor's Degree,Senior Sales Manager,16,130000,FALSE
27,Female,Master's Degree,Junior UX Designer,1.5,45000,FALSE
36,Male,Bachelor's Degree,Senior Accountant,7,90000,FALSE
41,Female,PhD,Senior Marketing Director,17,160000,FALSE
31,Male,Bachelor's Degree,Junior HR Generalist,4,50000,FALSE
39,Female,Bachelor's Degree,Senior Operations Manager,10,120000,FALSE
47,Male,Master's Degree,Director of Finance,20,170000,FALSE
30,Female,Bachelor's Degree,Junior Marketing Coordinator,2,40000,FALSE
38,Male,Master's Degree,Senior IT Consultant,9,110000,FALSE
45,Female,PhD,Senior Product Designer,15,150000,FALSE
28,Male,Bachelor's Degree,Junior Business Development Associate,2,40000,FALSE
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,FALSE
44,Male,Bachelor's Degree,Senior Software Engineer,14,130000,FALSE
34,Female,Master's Degree,Senior Financial Advisor,6,100000,FALSE
35,Male,Bachelor's Degree,Senior Project Coordinator,9,95000,FALSE
50,Female,PhD,Director of Operations,22,180000,FALSE
29,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,35000,FALSE
40,Female,Bachelor's Degree,Senior Sales Representative,12,100000,FALSE
48,Male,Master's Degree,Director of Marketing,19,170000,FALSE
31,Female,Bachelor's Degree,Junior Social Media Specialist,3,45000,FALSE
33,Male,Bachelor's Degree,Senior Product Development Manager,7,100000,FALSE
42,Female,Master's Degree,Senior Human Resources Manager,13,140000,FALSE
28,Male,Bachelor's Degree,Junior Financial Analyst,2,40000,FALSE
40,Female,Bachelor's Degree,Senior Marketing Manager,11,105000,FALSE
46,Male,PhD,Senior Data Scientist,18,160000,FALSE
33,Female,Bachelor's Degree,Junior Operations Manager,5,70000,FALSE
37,Male,Master's Degree,Senior Software Architect,9,120000,FALSE
51,Female,Master's Degree,Director of Human Resources,21,190000,FALSE
30,Male,Bachelor's Degree,Junior Marketing Specialist,3,45000,FALSE
43,Male,Bachelor's Degree,Senior Project Manager,15,120000,FALSE
27,Female,Master's Degree,Junior Research Scientist,1.5,50000,FALSE
35,Male,Bachelor's Degree,Senior Operations Analyst,8,85000,FALSE
42,Female,PhD,Senior Marketing Manager,13,140000,FALSE
32,Male,Bachelor's Degree,Junior Sales Representative,3,45000,FALSE
37,Female,Bachelor's Degree,Senior Financial Analyst,9,100000,FALSE
45,Male,Master's Degree,Senior Software Developer,16,140000,FALSE
33,Female,Bachelor's Degree,Junior Operations Analyst,5,70000,FALSE
39,Male,Bachelor's Degree,Senior Marketing Specialist,10,120000,FALSE
44,Female,PhD,Senior HR Manager,18,160000,FALSE
29,Male,Bachelor's Degree,Junior Business Analyst,1.5,40000,FALSE
38,Female,Bachelor's Degree,Senior Product Manager,10,120000,FALSE
46,Male,PhD,Senior Data Analyst,19,150000,FALSE
34,Female,Bachelor's Degree,Junior Marketing Analyst,6,70000,FALSE
36,Male,Bachelor's Degree,Senior Operations Manager,8,95000,FALSE
49,Female,Master's Degree,Director of Marketing,21,180000,FALSE
31,Male,Bachelor's Degree,Junior Financial Analyst,3,50000,FALSE
41,Female,Bachelor's Degree,Senior Project Coordinator,11,95000,FALSE
47,Male,Master's Degree,Director of Operations,20,170000,FALSE
30,Female,Bachelor's Degree,Junior Marketing Coordinator,2,40000,FALSE
38,Male,Master's Degree,Senior IT Consultant,9,110000,FALSE
45,Female,PhD,Senior Product Designer,15,150000,FALSE
28,Male,Bachelor's Degree,Junior Business Development Associate,2,40000,FALSE
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,FALSE
44,Male,Bachelor's Degree,Senior Software Engineer,14,130000,FALSE
34,Female,Master's Degree,Senior Financial Advisor,6,100000,FALSE
35,Male,Bachelor's Degree,Senior Project Coordinator,9,95000,FALSE
50,Female,PhD,Director of Operations,22,180000,FALSE
37,Female,Bachelor's Degree,Senior Financial Manager,10,120000,FALSE
46,Male,PhD,Senior Data Scientist,18,160000,FALSE
31,Female,Bachelor's Degree,Junior Marketing Coordinator,3,50000,FALSE
42,Male,Bachelor's Degree,Senior Operations Manager,12,110000,FALSE
29,Female,Bachelor's Degree,Junior Sales Representative,1.5,40000,FALSE
36,Male,Bachelor's Degree,Senior Marketing Specialist,8,95000,FALSE
44,Female,Master's Degree,Senior HR Specialist,15,140000,FALSE
33,Male,Bachelor's Degree,Junior Operations Manager,4,60000,FALSE
39,Female,Bachelor's Degree,Senior Marketing Coordinator,9,110000,FALSE
45,Male,PhD,Senior Data Engineer,16,150000,FALSE
32,Female,Bachelor's Degree,Junior Marketing Manager,4,60000,FALSE
37,Male,Bachelor's Degree,Senior Financial Analyst,8,90000,FALSE
47,Female,Master's Degree,Director of Marketing,20,180000,FALSE
30,Male,Bachelor's Degree,Junior Business Analyst,2,40000,FALSE
38,Female,Bachelor's Degree,Senior Project Manager,9,120000,FALSE
46,Male,PhD,Senior Data Analyst,17,160000,FALSE
34,Female,Bachelor's Degree,Junior Financial Analyst,5,70000,FALSE
36,Male,Bachelor's Degree,Senior Product Manager,8,95000,FALSE
49,Female,Master's Degree,Director of Operations,21,180000,FALSE
31,Male,Bachelor's Degree,Junior Operations Analyst,3,50000,FALSE
41,Female,Bachelor's Degree,Senior Project Coordinator,11,95000,FALSE
47,Male,Master's Degree,Director of Marketing,19,170000,FALSE
29,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000,FALSE
35,Male,Bachelor's Degree,Senior Financial Manager,9,100000,FALSE
44,Female,PhD,Senior Product Designer,15,150000,FALSE
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000,FALSE
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,FALSE
44,Male,Bachelor's Degree,Senior Software Engineer,13,130000,FALSE
32,Male,Bachelor's Degree,Junior Product Manager,4,65000,FALSE
38,Female,Bachelor's Degree,Senior Business Analyst,10,110000,FALSE
49,Male,PhD,Director of Operations,21,180000,FALSE
29,Female,Bachelor's Degree,Junior Marketing Specialist,2,40000,FALSE
35,Male,Bachelor's Degree,Senior Business Development Manager,7,90000,FALSE
45,Female,Master's Degree,Senior HR Manager,14,140000,FALSE
33,Male,Bachelor's Degree,Junior Financial Analyst,4,60000,FALSE
40,Female,Bachelor's Degree,Senior Marketing Manager,12,130000,FALSE
44,Male,PhD,Senior Data Scientist,16,160000,FALSE
30,Female,Bachelor's Degree,Junior Operations Coordinator,2,40000,FALSE
37,Male,Bachelor's Degree,Senior Marketing Analyst,9,100000,FALSE
48,Female,Master's Degree,Director of HR,20,180000,FALSE
31,Male,Bachelor's Degree,Junior Project Manager,3,55000,FALSE
38,Female,Bachelor's Degree,Senior Operations Coordinator,9,120000,FALSE
45,Male,PhD,Senior Data Engineer,16,150000,FALSE
33,Female,Bachelor's Degree,Junior Marketing Manager,5,70000,FALSE
36,Male,Bachelor's Degree,Senior Business Analyst,8,95000,FALSE
49,Female,Master's Degree,Director of Marketing,21,180000,FALSE
31,Male,Bachelor's Degree,Junior Operations Analyst,3,50000,FALSE
42,Female,Bachelor's Degree,Senior Project Manager,12,120000,FALSE
47,Male,Master's Degree,Director of Marketing,19,170000,FALSE
29,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000,FALSE
35,Male,Bachelor's Degree,Senior Financial Manager,9,100000,FALSE
44,Female,PhD,Senior Product Designer,15,150000,FALSE
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000,FALSE
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,FALSE
44,Male,Bachelor's Degree,Senior Software Engineer,13,130000,FALSE
34,Female,Master's Degree,Senior Financial Advisor,6,80000,FALSE
36,Male,Bachelor's Degree,Senior Marketing Specialist,8,95000,FALSE
30,Female,Bachelor's Degree,Junior HR Coordinator,2,40000,FALSE
37,Male,Bachelor's Degree,Senior Business Development Manager,10,120000,FALSE
45,Female,Master's Degree,Senior Marketing Manager,16,160000,FALSE
32,Male,Bachelor's Degree,Junior Financial Advisor,4,65000,FALSE
39,Female,Bachelor's Degree,Senior Project Manager,12,130000,FALSE
47,Male,PhD,Director of Engineering,20,180000,FALSE
29,Female,Bachelor's Degree,Junior Marketing Analyst,2,40000,FALSE
36,Male,Bachelor's Degree,Senior Operations Manager,9,100000,FALSE
43,Female,PhD,Senior Data Scientist,15,150000,FALSE
32,Male,Bachelor's Degree,Junior Marketing Coordinator,3,55000,FALSE
38,Female,Bachelor's Degree,Senior Business Analyst,10,110000,FALSE
48,Male,Master's Degree,Director of Marketing,21,180000,FALSE
31,Female,Bachelor's Degree,Junior Business Development Associate,3,50000,FALSE
40,Male,Bachelor's Degree,Senior Financial Analyst,12,130000,FALSE
45,Female,PhD,Senior UX Designer,16,160000,FALSE
33,Male,Bachelor's Degree,Junior Product Manager,4,60000,FALSE
36,Female,Bachelor's Degree,Senior Marketing Manager,8,95000,FALSE
47,Male,Master's Degree,Director of Operations,19,170000,FALSE
29,Female,Bachelor's Degree,Junior Project Manager,2,40000,FALSE
34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000,FALSE
44,Female,PhD,Senior Business Analyst,15,150000,FALSE
33,Male,Bachelor's Degree,Junior Marketing Specialist,5,70000,FALSE
35,Female,Bachelor's Degree,Senior Financial Manager,8,90000,FALSE
43,Male,Master's Degree,Director of Marketing,18,170000,FALSE
31,Female,Bachelor's Degree,Junior Financial Analyst,3,50000,FALSE
41,Male,Bachelor's Degree,Senior Product Manager,14,150000,FALSE
44,Female,PhD,Senior Data Engineer,16,160000,FALSE
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000,FALSE
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,FALSE
45,Male,Master's Degree,Director of Engineering,19,180000,FALSE
28,Female,Bachelor's Degree,Junior Operations Manager,1,35000,FALSE
36,Male,Bachelor's Degree,Senior Business Development Manager,8,110000,FALSE
44,Female,PhD,Senior Data Scientist,16,160000,FALSE
31,Male,Bachelor's Degree,Junior Marketing Coordinator,3,55000,FALSE
38,Female,Bachelor's Degree,Senior Business Analyst,10,110000,FALSE
48,Male,Master's Degree,Director of Marketing,21,180000,FALSE
31,Female,Bachelor's Degree,Junior Business Development Associate,3,50000,FALSE
40,Male,Bachelor's Degree,Senior Financial Analyst,12,130000,FALSE
45,Female,PhD,Senior UX Designer,16,160000,FALSE
33,Male,Bachelor's Degree,Junior Product Manager,4,60000,FALSE
36,Female,Bachelor's Degree,Senior Marketing Manager,8,95000,FALSE
47,Male,Master's Degree,Director of Operations,19,170000,FALSE
29,Female,Bachelor's Degree,Junior Project Manager,2,40000,FALSE
34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000,FALSE
44,Female,PhD,Senior Business Analyst,15,150000,FALSE
33,Male,Bachelor's Degree,Junior Marketing Specialist,5,70000,FALSE
35,Female,Bachelor's Degree,Senior Financial Manager,8,90000,FALSE
43,Male,Master's Degree,Director of Marketing,18,170000,FALSE
31,Female,Bachelor's Degree,Junior Financial Analyst,3,50000,FALSE
41,Male,Bachelor's Degree,Senior Product Manager,14,150000,FALSE
44,Female,PhD,Senior Data Engineer,16,160000,FALSE
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000,FALSE
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,FALSE
43,Male,Master's Degree,Director of Operations,19,170000,FALSE
29,Female,Bachelor's Degree,Junior Project Manager,2,40000,FALSE
34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000,FALSE
44,Female,PhD,Senior Business Analyst,15,150000,FALSE
31,Male,Master's Degree,Data Scientist,6,160000,FALSE
28,Female,Bachelor's Degree,Software Engineer,3,125000,FALSE
26,Male,Master's Degree,Product Manager,2,120000,FALSE
27,Female,Bachelor's Degree,Data Analyst,2,110000,FALSE
30,Male,PhD,Data Scientist,5,180000,FALSE
29,Female,Bachelor's Degree,Software Engineer,4,140000,FALSE
32,Male,Bachelor's Degree,Product Manager,7,170000,FALSE
25,Female,Master's Degree,Data Analyst,1,100000,FALSE
33,Male,PhD,Data Scientist,8,190000,FALSE
31,Female,Bachelor's Degree,Software Engineer,6,155000,FALSE
28,Male,Master's Degree,Product Manager,3,130000,FALSE
30,Female,Bachelor's Degree,Data Analyst,5,145000,FALSE
27,Male,PhD,Data Scientist,2,115000,FALSE
29,Female,Bachelor's Degree,Software Engineer,4,140000,FALSE
34,Male,Bachelor's Degree,Product Manager,9,185000,FALSE
25,Female,Master's Degree,Data Analyst,1,100000,FALSE
33,Male,PhD,Data Scientist,8,190000,FALSE
31,Female,Bachelor's Degree,Software Engineer,6,155000,FALSE
28,Male,Master's Degree,Product Manager,3,130000,FALSE
30,Female,Bachelor's Degree,Data Analyst,5,145000,FALSE
28,Male,Bachelor's Degree,Software Engineer,3,125000,FALSE
26,Female,Master's Degree,Product Manager,2,120000,FALSE
27,Male,Bachelor's Degree,Data Analyst,2,110000,FALSE
30,Female,PhD,Data Scientist,5,180000,FALSE
29,Male,Bachelor's Degree,Software Engineer,4,140000,FALSE
32,Male,Bachelor's Degree,Product Manager,7,170000,FALSE
25,Female,Master's Degree,Data Analyst,1,100000,FALSE
33,Male,PhD,Data Scientist,8,190000,FALSE
31,Female,Bachelor's Degree,Software Engineer,6,155000,FALSE
28,Male,Master's Degree,Product Manager,3,130000,FALSE
30,Female,Bachelor's Degree,Data Analyst,5,145000,FALSE
27,Male,PhD,Data Scientist,2,115000,FALSE
29,Female,Bachelor's Degree,Software Engineer,4,140000,FALSE
34,Male,Bachelor's Degree,Product Manager,9,185000,FALSE
25,Female,Master's Degree,Data Analyst,1,100000,FALSE
33,Male,PhD,Data Scientist,8,190000,FALSE
31,Female,Bachelor's Degree,Software Engineer,6,155000,FALSE
28,Male,Master's Degree,Product Manager,3,130000,FALSE
30,Female,Bachelor's Degree,Data Analyst,5,145000,FALSE
28,Male,Bachelor's Degree,Software Engineer,3,125000,FALSE
26,Female,Master's Degree,Product Manager,2,120000,FALSE
27,Male,Bachelor's Degree,Data Analyst,2,110000,FALSE
30,Female,PhD,Data Scientist,5,180000,FALSE
29,Male,Bachelor's Degree,Software Engineer,4,140000,FALSE
32,Male,Bachelor's Degree,Product Manager,7,170000,FALSE
25,Female,Master's Degree,Data Analyst,1,100000,FALSE
33,Male,PhD,Data Scientist,8,190000,FALSE
31,Female,Bachelor's Degree,Software Engineer,6,155000,FALSE
28,Male,Master's Degree,Product Manager,3,130000,FALSE
30,Female,Bachelor's Degree,Data Analyst,5,145000,FALSE
27,Male,PhD,Data Scientist,2,115000,FALSE
29,Female,Bachelor's Degree,Software Engineer,4,140000,FALSE
34,Male,Bachelor's Degree,Product Manager,9,185000,FALSE
25,Female,Master's Degree,Data Analyst,1,100000,FALSE
33,Male,PhD,Data Scientist,8,190000,FALSE
31,Female,Bachelor's Degree,Software Engineer,6,155000,FALSE
28,Male,Master's Degree,Product Manager,3,130000,FALSE
